최종_역사명,04-05시 승차일평균,04-05시 하차일평균,05-06시 승차일평균,05-06시 하차일평균,06-07시 승차일평균,06-07시 하차일평균,07-08시 승차일평균,07-08시 하차일평균,08-09시 승차일평균,08-09시 하차일평균,09-10시 승차일평균,09-10시 하차일평균,10-11시 승차일평균,10-11시 하차일평균,11-12시 승차일평균,11-12시 하차일평균,12-13시 승차일평균,12-13시 하차일평균,13-14시 승차일평균,13-14시 하차일평균,14-15시 승차일평균,14-15시 하차일평균,15-16시 승차일평균,15-16시 하차일평균,16-17시 승차일평균,16-17시 하차일평균,17-18시 승차일평균,17-18시 하차일평균,18-19시 승차일평균,18-19시 하차일평균,19-20시 승차일평균,19-20시 하차일평균,20-21시 승차일평균,20-21시 하차일평균,21-22시 승차일평균,21-22시 하차일평균,22-23시 승차일평균,22-23시 하차일평균,23-24시 승차일평균,23-24시 하차일평균,00-01시 승차일평균,00-01시 하차일평균,01-02시 승차일평균,01-02시 하차일평균,02-03시 승차일평균,02-03시 하차일평균,03-04시 승차일평균,03-04시 하차일평균,호선명,위도,경도
정왕,7.876985639852586,0.11615198881687636,200.48316177405005,16.54314398271699,330.6099885627144,370.4483415935951,631.8261532596264,860.3461685093405,565.0799339179057,974.7185156944975,427.2982589909772,694.3504892616596,382.4178421654594,447.1244122506036,392.82678866437925,382.00660820942943,420.55280213495996,384.7929851315288,432.1702884737578,395.36307027576566,409.5582666158343,389.15211589782695,497.91714322023125,389.55953742533995,643.0227474901511,404.32710636675563,873.8881687635023,552.6427754479603,1015.5137882831364,687.5996950057187,524.8758419112975,570.3438810522302,409.80836192654726,456.89769983479476,320.2905070529927,400.1756258736815,194.44732494599057,362.6834413521413,70.75994408438176,259.0634133943322,7.174990468928708,103.40881941796924,0.030499428135722456,8.725886389630196,0.0002541619011310205,0.0002541619011310205,0.001016647604524082,0.0,안산선,37.351735,126.742989
정자,11.655864785868598,0.16240945482272207,116.36497649002415,35.063921718134445,335.59334095819037,396.58508069640357,940.8156055407294,1012.5067988308552,1160.9485322150208,2316.8699961875714,820.2772906341339,1498.2183250730714,619.2044732494599,765.8335239547592,640.8638963019444,623.5989325200153,687.4942178167493,627.0481636802643,713.8734273732367,684.8649129495489,723.9430677341467,657.8670733257085,818.1204727411362,708.5014614309315,924.7942559410344,838.9797941288601,1437.5641123395603,1132.5769475155676,1934.4442750031772,1568.7723980175372,1131.6840767568942,1348.8913457872663,855.6858558902021,837.7755750413013,917.1109416698437,712.6770873046131,836.6099885627144,680.9904689287075,322.91167873935694,405.41619011310206,39.747871394078025,118.14919303596392,0.02185792349726776,0.09836065573770492,0.0,0.0,0.0,0.0,분당선,37.367098,127.108403
제기동,11.126445545812683,0.15859702630575676,158.68674545685602,76.84610496886516,289.26140551531324,304.24399542508576,734.871012835176,643.7199135849536,1042.2783072817385,1427.4017028847377,777.8726648875333,1197.6871266997077,856.4953615453044,1305.48989706443,1111.7084762994027,1562.0086415046385,1311.9176515440336,1655.4400813318082,1435.1317829457364,1729.2286186300673,1576.1946880162664,1614.0411742279832,1738.8946498919813,1390.4778243741264,1718.6041428389883,1139.9895793620535,1547.4959969500571,938.5977887914602,1414.6631084000508,903.166094802389,740.9508196721312,674.0053373999237,461.8261532596264,419.58927436777225,349.08476299402724,382.84457999745837,234.25543271063668,351.0934044986656,94.70987418985894,231.0174100902275,6.189604778243741,48.95971533867073,0.0856525606811539,0.37107637565128987,0.0033041047147032657,0.0035582666158342864,0.0,0.0,1호선,37.578103,127.034893
제물포,26.543652306519252,0.21476680645571228,224.90989960604907,64.33854365230651,456.14029736942433,178.358876604397,1158.3733638327615,442.0566781039522,1008.9431948150973,1049.6108781293683,595.9290888295844,537.9298513152878,479.107637565129,346.19519634006866,486.9340449866565,301.3872156563731,532.1860465116279,368.36828059473885,516.2315414919303,396.21629177786247,464.1868089973313,372.70911170415553,576.2765281484307,401.45304358876604,731.1048417842165,520.5383149065955,755.7715084508833,657.9285805057822,779.3808616088448,872.0676070657009,371.8134451645698,845.4738848646588,268.8844834159359,558.6257466005845,229.9687380861609,505.32418350489263,157.99923751429662,479.17244884991743,67.53869614944719,348.14309315033677,2.630829838607193,112.97801499555217,0.004574914220358368,0.1192019316304486,0.0,0.0015249714067861228,0.0,0.0,경인선,37.466769,126.656666
종각,3.590799339179057,0.11513534121235226,126.93684076756894,159.80912441225058,144.43436268903292,907.1172957173719,231.53081713051213,3403.065700851442,378.22162917778627,8294.51925276401,467.1655864785869,4713.268267886643,645.3956029991103,2206.0574405896555,980.3675181090355,2046.3865802516202,1214.1565637310966,1886.5698309823356,1594.9439573008005,1946.1616469691194,1888.149193035964,1665.002922861863,2297.840640487991,1468.766043970009,2653.293938238658,1500.4912949548861,4283.387215656373,1732.816622188334,7096.30550260516,2120.3606557377047,3622.0874316939894,1318.5154403354936,3079.753971279705,555.8996060490532,3484.9284534248313,360.9376032532723,2759.8467403736176,251.53259626382004,1217.9799212098105,161.4977760833651,101.44465624602871,37.84419875460668,2.4633371457618503,0.47477443131274627,0.019570466387088575,0.018553818782564492,0.0,0.0,1호선,37.570161,126.982923
종로3가,7.357987037743042,0.4755369170161392,222.77468547464736,132.70021603761597,248.2434871012835,791.2095564874825,374.18680899733124,1851.331045876223,602.2971152624222,5447.793620536282,825.4929470072436,5374.7208031516075,1255.347820561698,4334.891091625365,1874.884737577837,4312.226712415809,2482.4884991739737,4315.842419621299,3005.6296861100523,4284.450883212607,3445.179057059347,3873.9214639725506,4012.9653069004958,3333.6340068623713,4547.054263565891,3031.1462701741007,5344.190875587749,2996.3535392044732,7051.004447833269,3266.7304613038505,4874.158342864404,1979.47413902656,3562.4147922226457,945.5549625111196,3832.7787520650654,715.5026051594866,3068.66971660948,565.024272461558,1340.8328885500064,378.78053119837335,152.59041809632737,138.2523827678231,1.9151099250222392,2.672258228491549,0.041936713686618374,0.10420637946371838,0.000508323802262041,0.00559156182488245,"1호선, 3호선, 5호선",37.57254,126.990305
종로5가,1.6568814334731223,0.04752827551150082,65.5681789299784,114.74571101791841,100.59092642012963,504.9317575295463,179.7239801753717,1375.8998602109543,303.10255432710636,3553.9763629431945,436.49383657389757,2315.036218070911,704.5871139916127,1866.0106747998475,1049.1005210318972,1949.2710636675563,1348.2770364722328,1877.4619392553057,1649.0428262803407,1760.616596772144,1903.7046638708857,1663.2037107637566,2060.0302452662345,1451.7743042317957,2160.9109162536533,1286.2897445672895,2665.545050196976,1164.6852204854492,3470.9955521667302,1085.612403100775,1989.6634896429025,669.883593849282,1310.8405134070401,327.9519634006862,1138.9215910535013,237.34222899987293,794.5777100012708,174.5792349726776,278.2905070529927,110.41479222264581,16.99885627144491,31.152878383530307,0.13089337908247553,0.3006735290379972,0.0025416190113102047,0.0111831236497649,0.0,0.0,1호선,37.570926,127.001849
종합운동장,1.22948711988073,0.09201322055157266,187.32276701722412,62.13459153806178,581.8816963137226,473.4702183209403,1608.6927552493214,939.8741299345895,1895.7467801509886,1636.0928137272222,1289.0886777072117,1115.0000553783655,877.5856567967128,777.8079025754039,871.8763810238179,738.1047508645121,929.0297499604809,939.3681969072835,977.941045597265,1204.4196816363892,960.3832025845993,1046.7576665457848,1031.0944630933157,1206.3925792990299,1296.8827797046556,1639.7992007331434,1683.690616156638,2226.0239877175745,1709.469059921251,2848.564356582948,1141.7616163870368,1863.0924093411732,1239.5131710623245,1026.8897706033865,1962.2973805826507,987.7010783283586,1530.7128718538427,984.6554277513801,481.05579700936164,611.910522199389,51.718326209567856,169.4231938232459,0.7590059583401781,5.8331912712950995,0.03174647453680027,0.06403102841550719,0.0017791333079171432,0.00559156182488245,"2호선, 9호선2~3단계, 9호선2단계",37.511426,127.076275
주안,34.106239674672764,0.8542381497013597,495.74329647985763,135.12542889820818,978.1458889312491,345.423814970136,2344.253653577329,774.8407675689415,2096.1484305502604,1258.2877112720803,1299.7981954505021,970.0106747998475,1038.9975854619393,746.6369297242344,1074.8979539966958,717.3940780277037,1204.7551150082602,869.6657771000127,1142.8450883212606,813.2420892108273,1042.9096454441478,892.7856144363959,1138.3682805947387,908.4841784216546,1254.832380226204,1192.603634515186,1477.600203329521,1470.5439064684206,1489.6820434616852,2042.4943448976999,956.9559029101538,2160.232049815733,831.4512644554582,1391.9895793620535,781.8670733257085,1214.7487609607322,649.3661202185792,1119.8619900876859,335.84369043080443,816.830346930995,24.322023128733004,232.80442241707968,0.025924513915364086,0.3464226712415809,0.0002541619011310205,0.003812428516965307,0.0,0.0012708095056551023,경인선,37.464992,126.679098
주엽,3.4067861227601983,0.06735290379972042,171.70491803278688,42.93556995806329,533.8131910026686,129.34451645698311,876.7693480747236,258.506290507053,845.8152242978778,518.5205235735164,635.2451391536408,457.2847884102173,578.8095056551023,409.94891345787266,573.551912568306,423.365611894777,557.9966958952854,438.5385690684966,532.5047655356462,532.234591434744,499.22836446816626,507.9295971533867,542.3570974710891,606.1275892743678,566.349218452154,624.395730080061,549.9410344389375,701.0781547845978,516.7978142076503,823.2807218197993,294.27424069132036,853.9351887152117,260.0548989706443,540.9248951582157,209.08272969881813,439.7938746981828,171.62663616723853,391.0026686999619,43.47286821705426,280.3990341847757,5.020714194942178,87.52725886389631,0.03380353285042572,3.894014487228364,0.0,0.0,0.0,0.0,일산선,37.670072,126.761334
