apt_name,address,build_year,total_households,total_floor_area,prop_under_60,prop_60_to_85,prop_85_to_135,prop_over_135,latitude,longitude
상계주공6단지,서울특별시 노원구 노해로 508,1988,2646,203067.0,100.0,0.0,0.0,0.0,37.6534408,127.0630823
상계주공10단지,서울특별시 노원구 노원로 564,1988,2654,197224.0,82.8,17.2,0.0,0.0,37.6634281,127.0538808
도봉한신,서울특별시 도봉구 마들로 859-19,1995,2678,346446.0,0.0,100.0,0.0,0.0,37.6857192,127.0480587
상계주공9단지,서울특별시 노원구 노원로 532,1988,2830,217994.0,70.3,29.7,0.0,0.0,37.662167,127.059948
창동주공3단지,서울특별시 도봉구 해등로 50,1990,2856,238813.0,62.5,37.5,0.0,0.0,37.6500348,127.045837
신정양천,서울특별시 양천구 목동로3길 41,1995,2995,176355.0,100.0,0.0,0.0,0.0,37.5099235,126.8632848
목동14단지,서울특별시 양천구 목동동로 130,1987,3100,331864.0,23.2,41.0,33.9,1.9,37.5151892,126.8713633
압구정현대아파트,서울특별시 강남구 압구정로29길 71,1976,3130,516492.0,0.0,21.0,12.4,66.7,37.5331972,127.0280917
방학신동아1단지,서울특별시 도봉구 시루봉로 107,1986,3169,297343.0,36.4,52.6,11.0,0.0,37.6606886,127.0286105
상계보람,서울특별시 노원구 한글비석로 480,1988,3315,294983.0,40.3,59.7,0.0,0.0,37.6627915,127.0644118
신천장미1차2차,서울특별시 송파구 올림픽로35길 104,1979,3402,412227.0,0.0,58.4,34.2,7.4,37.519587,127.0994131
중계그린,서울특별시 노원구 동일로207길 18,1990,3481,237406.0,100.0,0.0,0.0,0.0,37.6420264,127.0641156
성산시영아파트,서울특별시 마포구 월드컵북로 260,1986,3710,280399.0,100.0,0.0,0.0,0.0,37.5684652,126.9028201
월계시영고층,서울특별시 노원구 마들로 111,1986,3930,280427.0,100.0,0.0,0.0,0.0,37.6239862,127.0657785
반포본동아파트,서울특별시 서초구 신반포로3길 14,1973,3610,427856.0,0.0,41.3,37.1,21.6,37.5030465,126.9869329
은마,서울특별시 강남구 삼성로 212,1979,4424,504698.0,0.0,100.0,0.0,0.0,37.4977415,127.0650701
올림픽훼밀리타운,서울특별시 송파구 중대로 24,1988,4494,667132.0,0.0,33.4,20.0,46.6,37.4885215,127.1143761
